"kingdom","phylum","class","order","family","genus","species"
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus"
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,NA
"Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Agonus","Agonus cataphractus"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Leptagonus","Leptagonus decagonus"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus|Icelus","Artediellus atlanticus|Icelus cataphractus|Icelus spatula"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus scaber"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Micrenophrys","Micrenophrys lilljeborgii"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi|Triglops pingelii"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis fabricii|Liparis inquilinus|Liparis liparis"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp."
"Animalia","Chordata","Teleostei","Scorpaeniformes","Triglidae","Chelidonichthys|Eutrigla|Trigloporus","Chelidonichthys cuculus|Eutrigla gurnardus|Trigloporus lastoviza"
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri"
"Animalia","Chordata","Teleostei","Uranoscopiformes","Ammodytidae","Ammodytes",NA
"Animalia","Chordata","Teleostei",NA,NA,NA,NA
